INFO -2023-04-11 10:20:43,588 - base_page.py - base_page - find_ele - 43 -  定位到了<selenium.webdriver.remote.webelement.WebElement (session="900f35fb425b170eeeb20291218e3b2c", element="f7b7a4f4-f51b-4f47-af97-5d0c79c19b4c")>元素
INFO -2023-04-11 10:20:43,588 - base_page.py - base_page - find_ele - 43 -  定位到了<selenium.webdriver.remote.webelement.WebElement (session="900f35fb425b170eeeb20291218e3b2c", element="f7b7a4f4-f51b-4f47-af97-5d0c79c19b4c")>元素
INFO -2023-04-11 10:20:43,588 - base_page.py - base_page - find_ele - 43 -  定位到了<selenium.webdriver.remote.webelement.WebElement (session="900f35fb425b170eeeb20291218e3b2c", element="f7b7a4f4-f51b-4f47-af97-5d0c79c19b4c")>元素
INFO -2023-04-11 10:20:43,588 - base_page.py - base_page - find_ele - 43 -  定位到了<selenium.webdriver.remote.webelement.WebElement (session="900f35fb425b170eeeb20291218e3b2c", element="f7b7a4f4-f51b-4f47-af97-5d0c79c19b4c")>元素
INFO -2023-04-11 10:20:43,588 - base_page.py - base_page - find_ele - 43 -  定位到了<selenium.webdriver.remote.webelement.WebElement (session="900f35fb425b170eeeb20291218e3b2c", element="f7b7a4f4-f51b-4f47-af97-5d0c79c19b4c")>元素
INFO -2023-04-11 10:20:46,318 - base_page.py - base_page - wait_ele_visible - 33 -  等待xx元素出现
INFO -2023-04-11 10:20:46,318 - base_page.py - base_page - wait_ele_visible - 33 -  等待xx元素出现
INFO -2023-04-11 10:20:46,318 - base_page.py - base_page - wait_ele_visible - 33 -  等待xx元素出现
INFO -2023-04-11 10:20:46,318 - base_page.py - base_page - wait_ele_visible - 33 -  等待xx元素出现
INFO -2023-04-11 10:20:46,318 - base_page.py - base_page - wait_ele_visible - 33 -  等待xx元素出现
INFO -2023-04-11 10:20:46,318 - base_page.py - base_page - wait_ele_visible - 33 -  等待xx元素出现
INFO -2023-04-11 10:20:46,318 - base_page.py - base_page - wait_ele_visible - 33 -  等待xx元素出现
INFO -2023-04-11 10:20:46,318 - base_page.py - base_page - wait_ele_visible - 33 -  等待xx元素出现
INFO -2023-04-11 10:20:46,318 - base_page.py - base_page - wait_ele_visible - 33 -  等待xx元素出现
INFO -2023-04-11 10:20:46,332 - base_page.py - base_page - find_ele - 43 -  定位到了<selenium.webdriver.remote.webelement.WebElement (session="900f35fb425b170eeeb20291218e3b2c", element="ec53bf04-f75b-422c-a8ff-deeefd8f0e3b")>元素
INFO -2023-04-11 10:20:46,332 - base_page.py - base_page - find_ele - 43 -  定位到了<selenium.webdriver.remote.webelement.WebElement (session="900f35fb425b170eeeb20291218e3b2c", element="ec53bf04-f75b-422c-a8ff-deeefd8f0e3b")>元素
INFO -2023-04-11 10:20:46,332 - base_page.py - base_page - find_ele - 43 -  定位到了<selenium.webdriver.remote.webelement.WebElement (session="900f35fb425b170eeeb20291218e3b2c", element="ec53bf04-f75b-422c-a8ff-deeefd8f0e3b")>元素
INFO -2023-04-11 10:20:46,332 - base_page.py - base_page - find_ele - 43 -  定位到了<selenium.webdriver.remote.webelement.WebElement (session="900f35fb425b170eeeb20291218e3b2c", element="ec53bf04-f75b-422c-a8ff-deeefd8f0e3b")>元素
INFO -2023-04-11 10:20:46,332 - base_page.py - base_page - find_ele - 43 -  定位到了<selenium.webdriver.remote.webelement.WebElement (session="900f35fb425b170eeeb20291218e3b2c", element="ec53bf04-f75b-422c-a8ff-deeefd8f0e3b")>元素
INFO -2023-04-11 10:20:46,332 - base_page.py - base_page - find_ele - 43 -  定位到了<selenium.webdriver.remote.webelement.WebElement (session="900f35fb425b170eeeb20291218e3b2c", element="ec53bf04-f75b-422c-a8ff-deeefd8f0e3b")>元素
INFO -2023-04-11 10:20:46,332 - base_page.py - base_page - find_ele - 43 -  定位到了<selenium.webdriver.remote.webelement.WebElement (session="900f35fb425b170eeeb20291218e3b2c", element="ec53bf04-f75b-422c-a8ff-deeefd8f0e3b")>元素
INFO -2023-04-11 10:20:46,332 - base_page.py - base_page - find_ele - 43 -  定位到了<selenium.webdriver.remote.webelement.WebElement (session="900f35fb425b170eeeb20291218e3b2c", element="ec53bf04-f75b-422c-a8ff-deeefd8f0e3b")>元素
INFO -2023-04-11 10:20:46,332 - base_page.py - base_page - find_ele - 43 -  定位到了<selenium.webdriver.remote.webelement.WebElement (session="900f35fb425b170eeeb20291218e3b2c", element="ec53bf04-f75b-422c-a8ff-deeefd8f0e3b")>元素
INFO -2023-04-11 10:20:46,475 - base_page.py - base_page - send_keys - 54 -  输入的内容为：newpost666
INFO -2023-04-11 10:20:46,475 - base_page.py - base_page - send_keys - 54 -  输入的内容为：newpost666
INFO -2023-04-11 10:20:46,475 - base_page.py - base_page - send_keys - 54 -  输入的内容为：newpost666
INFO -2023-04-11 10:20:46,475 - base_page.py - base_page - send_keys - 54 -  输入的内容为：newpost666
INFO -2023-04-11 10:20:46,475 - base_page.py - base_page - send_keys - 54 -  输入的内容为：newpost666
INFO -2023-04-11 10:20:46,475 - base_page.py - base_page - send_keys - 54 -  输入的内容为：newpost666
INFO -2023-04-11 10:20:46,475 - base_page.py - base_page - send_keys - 54 -  输入的内容为：newpost666
INFO -2023-04-11 10:20:46,475 - base_page.py - base_page - send_keys - 54 -  输入的内容为：newpost666
INFO -2023-04-11 10:20:46,475 - base_page.py - base_page - send_keys - 54 -  输入的内容为：newpost666
INFO -2023-04-11 10:20:46,511 - base_page.py - base_page - wait_ele_visible - 33 -  等待xx元素出现
INFO -2023-04-11 10:20:46,511 - base_page.py - base_page - wait_ele_visible - 33 -  等待xx元素出现
INFO -2023-04-11 10:20:46,511 - base_page.py - base_page - wait_ele_visible - 33 -  等待xx元素出现
INFO -2023-04-11 10:20:46,511 - base_page.py - base_page - wait_ele_visible - 33 -  等待xx元素出现
INFO -2023-04-11 10:20:46,511 - base_page.py - base_page - wait_ele_visible - 33 -  等待xx元素出现
INFO -2023-04-11 10:20:46,511 - base_page.py - base_page - wait_ele_visible - 33 -  等待xx元素出现
INFO -2023-04-11 10:20:46,511 - base_page.py - base_page - wait_ele_visible - 33 -  等待xx元素出现
INFO -2023-04-11 10:20:46,511 - base_page.py - base_page - wait_ele_visible - 33 -  等待xx元素出现
INFO -2023-04-11 10:20:46,511 - base_page.py - base_page - wait_ele_visible - 33 -  等待xx元素出现
INFO -2023-04-11 10:20:46,518 - base_page.py - base_page - find_ele - 43 -  定位到了<selenium.webdriver.remote.webelement.WebElement (session="900f35fb425b170eeeb20291218e3b2c", element="1271dffd-a9b4-4c82-8ecd-28cd0e6e7964")>元素
INFO -2023-04-11 10:20:46,518 - base_page.py - base_page - find_ele - 43 -  定位到了<selenium.webdriver.remote.webelement.WebElement (session="900f35fb425b170eeeb20291218e3b2c", element="1271dffd-a9b4-4c82-8ecd-28cd0e6e7964")>元素
